ID,FIRSTNAME,LASTNAME,COMMONNAME,POSITION,BIRTHDATE,OVERALLRATING,POTENTIAL,CLUBID,NATIONALITY
94,Jack,Rodwell,,P,03/11/1991,76,82,14,England
96,Emmanuel,Rivire,,N,03/03/1990,73,76,8,France
97,Kieran,Richardson,,O,10/21/1984,73,73,2,England
98,Ashley,Richards,,O,04/12/1991,66,73,20,Wales
99,Micah,Richards,,O,06/24/1988,77,79,6,England
101,Winston,Reid,,O,07/03/1988,75,78,12,New Zealand
102,Aaron,Ramsey,,P,12/26/1990,83,86,1,Wales
103,Peter,Ramage,,O,11/22/1983,66,66,17,England
104,Gylfi,Sigurdsson,,P,09/09/1989,77,80,20,Iceland
105,Steve,Sidwell,,P,12/14/1982,75,75,18,England
107,Brek,Shea,,P,02/28/1990,68,71,18,United States
108,Ryan,Shawcross,,O,10/04/1987,77,79,18,England
109,Jason,Shackell,,O,09/27/1983,72,72,16,England
110,St+AOk-phane,Sessegnon,,P,06/01/1984,77,77,15,Benin
112,Jason,Puncheon,,P,06/26/1986,73,73,17,England
113,Lewis,Price,,B,07/19/1984,64,64,17,Wales
114,Lukas,Podolski,,P,06/04/1985,77,77,1,Germany
115,S+AOk-bastien,Pocognoli,,O,08/01/1987,72,75,15,Belgium
116,Costel,Pantilimon,,B,02/01/1987,74,75,14,Romania
117,Wilson,Palacios,,P,07/29/1984,69,69,18,Honduras
119,Leon,Osman,,P,05/17/1981,76,76,4,England
120,Nedum,Onuoha,,O,11/12/1986,75,77,9,England
121,Jonas,Olsson,,O,03/10/1983,76,76,15,Sweden
122,Peter,Odemwingie,,P,07/15/1981,72,72,18,Nigeria
123,Jonathan,Obika,,N,09/12/1990,63,67,11,England
125,Curtis,Obeng,,O,02/14/1989,60,63,20,England
126,John,O'Shea,,O,04/30/1981,75,75,14,Republic of Ireland
127,Stuart,O'Keefe,,P,03/04/1991,66,72,17,England
129,David,Nugent,,N,05/02/1985,71,71,13,England
130,Kevin,Nolan,,P,06/24/1982,75,75,12,England
131,Mark,Noble,,P,05/08/1987,75,76,12,England
132,Kyle,Naughton,,O,11/11/1988,72,77,11,England
133,Samir,Nasri,,P,06/26/1987,84,87,6,France
134,Steven,Naismith,,N,09/14/1986,75,78,4,Scotland
136,Charles,N'Zogbia,,P,05/28/1986,75,75,2,France
137,Boaz,Myhill,,B,11/09/1982,72,72,15,Wales
138,Jordon,Mutch,,P,12/02/1991,69,76,9,England
139,Glenn,Murray,,N,09/25/1983,70,70,17,England
141,Youssouf,Mulumbu,,P,01/25/1987,76,79,15,Congo DR
142,Victor,Moses,,P,12/12/1990,75,79,18,Nigeria
143,James,Morrison,,P,05/25/1986,73,73,15,Scotland
144,Wes,Morgan,,O,01/21/1984,71,71,13,Jamaica
145,Jefferson,Montero,,N,09/01/1989,74,76,20,Ecuador
146,Kevin,Mirallas,,P,10/05/1987,80,81,4,Belgium
147,James,Milner,,P,01/04/1986,78,78,6,England
148,John Obi,Mikel,,P,04/22/1987,78,80,3,Nigeria
149,Simon,Mignolet,,B,03/06/1988,82,83,5,Belgium
150,David,Meyler,,P,05/29/1989,68,70,19,Republic of Ireland
151,Per,Mertesacker,,O,09/29/1984,83,83,1,Germany
152,Ben,Mee,,O,09/23/1989,69,71,16,England
153,Paul,McShane,,O,01/06/1986,66,66,19,Republic of Ireland
154,Allan,McGregor,,B,01/31/1982,74,74,19,Scotland
155,Aiden,McGeady,,P,04/04/1986,78,78,4,Republic of Ireland
156,James,McCarthy,,P,11/12/1990,79,83,4,Republic of Ireland
157,Patrick,McCarthy,,O,05/31/1983,67,67,17,Republic of Ireland
158,Gareth,McAuley,,O,12/05/1979,73,73,15,Northern Ireland
159,Nemanja,Matic,,P,08/01/1988,82,85,3,Serbia
160,Ryan,Mason,,P,06/13/1991,64,71,11,England
161,Erik,Pieters,,O,08/07/1988,73,75,18,Holland
162,Steven,Pienaar,,P,03/17/1982,79,79,4,South Africa
163,Matt,Phillips,,P,03/13/1991,71,77,9,Scotland
164,Graziano,Pelle,,N,07/15/1985,77,77,10,Italy
165,Vito,Mannone,,B,03/02/1988,73,76,14,Italy
166,Eliaquim,Mangala,,O,02/13/1991,80,86,6,France
167,Romelu,Lukaku,,N,05/13/1993,80,86,4,Belgium
168,Shane,Long,,N,01/22/1987,75,76,10,Republic of Ireland
169,Hugo,Lloris,,B,12/26/1986,85,86,11,France
170,Jake,Livermore,,P,11/14/1989,73,79,19,England
171,Anders,Lindegaard,,B,04/13/1984,77,77,7,Denmark
172,Joleon,Lescott,,O,08/16/1982,79,79,15,England
173,Aaron,Lennon,,P,04/16/1987,79,80,11,England
174,Joe,Ledley,,P,01/21/1987,72,73,17,Wales
175,Sebastian,Larsson,,P,06/06/1985,72,72,14,Sweden
176,Frank,Lampard,,P,06/20/1978,80,80,6,England
177,Erik,Lamela,,P,03/04/1992,78,84,11,Argentina
178,Rickie,Lambert,,N,02/16/1982,76,76,5,England
179,Adam,Lallana,,P,05/10/1988,79,83,5,England
180,Jimmy,K+AOk-b+AOk-,,P,01/19/1984,66,66,17,Mali
181,Tim,Krul,,B,04/03/1988,79,84,8,Holland
182,Libor,Koz+AOE-k,,N,05/30/1989,73,75,2,Czech Republic
183,Cheikhou,Kouyat+AOk-,,P,12/21/1989,71,77,12,Senegal
184,Laurent,Koscielny,,O,09/10/1985,81,81,1,France
185,Arouna,Kon+AOk-,,N,11/11/1983,76,76,4,C+APQ-te d'Ivoire
186,Paul,Konchesky,,O,05/15/1981,68,68,13,England
187,Vincent,Kompany,,O,04/10/1986,86,86,6,Belgium
188,Aleksandar,Kolarov,,O,11/10/1985,78,78,6,Serbia
189,Dean,Marney,,P,01/31/1984,68,68,16,England
190,Adrian,Mariappa,,O,10/03/1986,70,71,17,Jamaica
191,Andy,King,,P,10/29/1988,68,72,13,Wales
192,Michael,Kightly,,P,01/24/1986,72,72,16,England
193,Bongani,Khumalo,,O,01/06/1987,64,66,11,South Africa
194,Martin,Kelly,,O,04/27/1990,74,79,17,England
195,Stevan,Jovetic,,N,11/02/1989,81,84,6,Montenegro
196,David,Jones,,P,11/04/1984,70,70,16,England
197,Billy,Jones,,O,03/24/1987,70,71,14,England
198,Brad,Jones,,B,03/19/1982,71,71,5,Australia
199,Adam,Johnson,,P,07/14/1987,77,77,14,England
200,Glen,Johnson,,O,08/23/1984,76,76,5,England
201,Nikica,Jelavic,,N,08/27/1985,73,73,19,Croatia
202,Mile,Jedin+AOE-k,,P,08/03/1984,76,76,17,Australia
203,Matt,Jarvis,,P,05/22/1986,76,76,12,England
204,Daryl,Janmaat,,O,07/22/1989,75,79,8,Holland
205,Matty,James,,P,07/22/1991,68,73,13,England
206,Eldin,Jakupovic,,B,10/02/1984,67,67,19,Switzerland
207,Phil,Jagielka,,O,08/17/1982,80,80,4,England
208,Branislav,Ivanovic,,O,02/22/1984,81,81,3,Serbia
209,Mauricio,Isla,,P,06/12/1988,76,78,9,Chile
210,Stephen,Ireland,,P,08/22/1986,76,76,18,Republic of Ireland
211,Brown,Ideye,,N,10/10/1988,76,79,15,Nigeria
212,Alan,Hutton,,O,11/30/1984,70,70,2,Scotland
213,Robert,Huth,,O,08/18/1984,76,76,18,Germany
214,Tom,Huddlestone,,P,12/28/1986,75,78,19,England
215,Tim,Howard,,B,03/06/1979,82,82,4,United States
216,Jos,Hooiveld,,O,04/22/1983,70,70,10,Holland
217,Lewis,Holtby,,P,09/18/1990,77,81,11,Germany
218,Junior,Hoilett,,P,06/05/1990,73,78,9,Canada
219,Clint,Hill,,O,10/19/1978,71,71,9,England
220,Tony,Hibbert,,O,02/20/1981,72,72,4,England
221,Javier,Hern+AOE-ndez,,N,06/01/1988,81,82,7,Mexico
222,Chris,Herd,,O,04/04/1989,70,72,2,Australia
223,Karl,Henry,,P,11/26/1982,70,70,9,England
224,Wayne,Hennessey,,B,01/24/1987,72,75,17,Wales
225,Jordan,Henderson,,P,06/17/1990,78,83,5,England
226,Tom,Heaton,,B,04/15/1986,72,72,16,England
227,Eden,Hazard,,P,01/07/1991,88,90,3,Belgium
229,Steve,Harper,,B,03/14/1975,68,68,19,England
230,Brede,Hangeland,,O,06/20/1981,76,76,17,Norway
231,Dean,Hammond,,P,03/07/1983,67,67,13,England
232,Ben,Hamer,,B,11/20/1987,65,70,13,England
233,Adlene,Gu+AOk-dioura,,P,11/12/1985,69,69,17,Algeria
235,Jon+AOE-s,Guti+AOk-rrez,,P,07/05/1983,74,74,8,Argentina
236,Rob,Green,,B,01/18/1980,76,76,9,England
237,Danny,Graham,,N,08/12/1985,69,69,14,England
238,Yoan,Gouffran,,P,05/25/1986,74,74,8,France
240,Shinji,Kagawa,,P,03/17/1989,81,83,7,Japan
241,Younas,Kaboul,,O,01/04/1986,79,79,11,France
242,Jussi,J+AOQA5A-skel+AOQ-inen,,B,04/19/1975,73,73,12,Finland
243,Lukas,Jutkiewicz,,N,03/28/1989,70,73,16,England
244,Brad,Friedel,,B,05/18/1971,78,78,11,United States
246,Fraser,Forster,,B,03/17/1988,75,80,10,England
247,Darren,Fletcher,,P,02/01/1984,75,75,7,Scotland
248,Steven,Fletcher,,N,03/26/1987,76,77,14,Scotland
249,Mathieu,Flamini,,P,03/07/1984,77,77,1,France
250,Maynor,Figueroa,,O,05/02/1983,73,73,19,Honduras
252,Rio,Ferdinand,,O,11/07/1978,79,79,9,England
253,Leroy,Fer,,P,01/05/1990,76,81,9,Holland
254,Marouane,Fellaini,,P,11/22/1987,79,80,7,Belgium
255,Federico,Fazio,,O,03/17/1987,80,82,11,Argentina
257,Lukasz,Fabianski,,B,04/18/1985,75,75,20,Poland
258,Jonny,Evans,,O,01/02/1988,79,82,7,Northern Ireland
259,Samuel,Eto'o,,N,03/10/1981,81,81,4,Cameroon
260,Christian,Eriksen,,P,02/14/1992,83,88,11,Denmark
261,Marvin,Emnes,,N,05/27/1988,69,72,20,Holland
263,Rob,Elliot,,B,04/30/1986,68,68,8,Republic of Ireland
264,Karim,El Ahmadi,,P,01/27/1985,74,74,2,Morocco
265,Ulises,D+AOE-vila,,P,04/13/1991,67,72,3,Mexico
267,Nathan,Dyer,,P,11/29/1987,74,75,20,England
268,Richard,Dunne,,O,09/21/1979,74,74,9,Republic of Ireland
269,Shane,Duffy,,O,01/01/1992,67,74,4,Republic of Ireland
271,Didier,Drogba,,N,03/11/1978,81,81,3,C+APQ-te d'Ivoire
272,Danny,Drinkwater,,P,03/05/1990,70,74,13,England
274,Stewart,Downing,,P,07/22/1984,77,77,12,England
275,Graham,Dorrans,,P,05/05/1987,73,75,15,Scotland
276,Sylvain,Distin,,O,12/16/1977,77,77,4,France
277,Mame,Diouf,,N,12/16/1987,78,80,18,Senegal
278,Shay,Given,,B,04/20/1976,74,74,2,Republic of Ireland
279,Olivier,Giroud,,N,09/30/1986,79,79,1,France
281,Darron,Gibson,,P,10/25/1987,76,78,4,Republic of Ireland
282,Kieran,Gibbs,,O,09/26/1989,78,82,1,England
283,Emanuele,Giaccherini,,P,05/05/1985,77,77,14,Italy
284,Steven,Gerrard,,P,05/30/1980,82,82,5,England
285,Owen,Garvan,,P,01/29/1988,65,66,17,Republic of Ireland
286,Craig,Gardner,,P,11/25/1986,74,74,15,England
287,Luke,Garbutt,,O,05/21/1993,64,72,4,England
288,Mohamed,Diam+AOk-,,P,06/14/1987,73,74,12,Senegal
289,Modibo,Diakit+AOk-,,O,03/02/1987,74,76,14,France
290,Abou,Diaby,,P,05/11/1986,76,76,1,France
291,+AME-ngel,Di Mar+AO0-a,,P,02/14/1988,86,88,7,Argentina
292,Mart+AO0-n,Demichelis,,O,12/20/1980,79,79,6,Argentina
293,Guy,Demel,,O,06/13/1981,70,70,12,C+APQ-te d'Ivoire
294,Moussa,Demb+AOk-l+AOk-,,P,07/16/1987,80,82,11,Belgium
295,Fabian,Delph,,P,11/21/1989,75,80,2,England
296,Damien,Delaney,,O,07/20/1981,72,72,17,Republic of Ireland
297,Mathieu,Debuchy,,O,07/28/1985,80,80,1,France
298,Ritchie,De Laet,,O,11/28/1988,69,72,13,Belgium
299,Peter,Crouch,,N,01/30/1981,75,75,18,England
300,Aaron,Cresswell,,O,12/15/1989,70,77,12,England
301,Thibaut,Courtois,,B,05/11/1992,86,90,3,Belgium
302,David,Cornell,,B,03/28/1991,58,66,20,Wales
303,Jack,Cork,,P,06/25/1989,75,78,10,England
304,Francis,Coquelin,,P,05/13/1991,70,75,1,France
305,Fabricio,Coloccini,,O,01/22/1982,79,79,8,Argentina
306,James,Collins,,O,08/23/1983,74,74,12,Wales
307,S+AOk-amus,Coleman,,O,10/11/1988,78,83,4,Republic of Ireland
308,Carlton,Cole,,N,10/12/1983,72,72,12,England
309,Joe,Cole,,P,11/08/1981,74,74,2,England
310,Jack,Colback,,P,10/24/1989,70,77,8,England
311,Nathaniel,Clyne,,O,04/05/1991,74,81,10,England
312,Ga+AOs-l,Clichy,,O,07/26/1985,80,80,6,France
313,Tom,Cleverley,,P,08/12/1989,74,78,7,England
314,Ciaran,Clark,,O,09/26/1989,73,76,2,Republic of Ireland
315,Papiss Demba,Ciss+AOk-,,N,06/03/1985,76,76,8,Senegal
316,Aly,Cissokho,,O,09/15/1987,74,76,2,France
317,Alex,Cisak,,B,05/19/1989,63,69,16,Australia
318,James,Chester,,O,01/23/1989,71,73,19,Wales
319,Marouane,Chamakh,,P,01/10/1984,75,75,17,Morocco
320,Steven,Caulker,,O,12/29/1991,76,82,9,England
321,Lee,Cattermole,,P,03/21/1988,74,76,14,England
322,Andy,Carroll,,N,01/06/1989,77,80,12,England
323,Michael,Carrick,,P,07/28/1981,79,79,7,England
324,Etienne,Capoue,,P,07/11/1988,78,83,11,France
325,Fraizer,Campbell,,N,09/13/1987,72,73,17,England
326,Geoff,Cameron,,O,07/01/1985,73,73,18,United States
327,Esteban,Cambiasso,,P,08/18/1980,78,78,13,Argentina
328,Gary,Cahill,,O,12/19/1985,81,81,3,England
329,R+AOk-my,Cabella,,P,03/08/1990,79,85,8,France
330,Willy,Caballero,,B,09/28/1981,79,79,6,Argentina
331,Graham,Burke,,N,09/21/1993,59,70,2,Republic of Ireland
332,Will,Buckley,,N,11/21/1989,71,75,14,England
333,Chris,Brunt,,P,12/14/1984,74,74,15,Northern Ireland
334,Alex,Bruce,,O,09/28/1984,67,67,19,Northern Ireland
335,Wes,Brown,,O,10/13/1979,75,75,14,England
336,Leon,Britton,,P,09/16/1982,75,75,20,England
337,Liam,Bridcutt,,P,05/08/1989,73,78,14,Scotland
338,George,Boyd,,P,10/02/1985,67,67,19,Scotland
339,Artur,Boruc,,B,02/20/1980,76,76,10,Poland
340,Fabio,Borini,,P,03/23/1991,74,79,5,Italy
341,Wilfried,Bony,,N,12/10/1988,81,84,20,C+APQ-te d'Ivoire
342,Yannick,Bolasie,,P,05/24/1989,73,77,17,Congo DR
343,Ryan,Bertrand,,O,08/05/1989,74,78,10,England
344,Christian,Benteke,,N,12/03/1990,80,85,2,Belgium
345,Darren,Bent,,N,02/06/1984,74,74,2,England
346,Hatem,Ben Arfa,,P,03/07/1987,78,78,8,France
347,Asmir,Begovic,,B,06/20/1987,82,84,18,Bosnia and Herzegovina
348,Joey,Barton,,P,09/02/1982,75,75,9,England
349,Kyle,Bartley,,O,05/22/1991,65,73,20,England
350,Gareth,Barry,,P,02/23/1981,80,80,4,England
351,Ashley,Barnes,,N,10/30/1989,69,74,16,Austria
352,Phil,Bardsley,,O,06/28/1985,71,71,18,Scotland
353,Barry,Bannan,,P,12/01/1989,75,76,17,Scotland
354,Michael,Dawson,,O,11/18/1983,79,79,19,England
355,Kelvin,Davis,,B,09/29/1976,70,70,10,England
356,Steven,Davis,,P,01/01/1985,76,76,10,Northern Ireland
357,Curtis,Davies,,O,03/15/1985,75,75,19,England
358,Scott,Dann,,O,02/14/1987,73,73,17,England
359,Luke,Daniels,,B,01/05/1988,60,66,15,England
360,Sergio,Ag+APw-ero,,N,06/02/1988,86,87,6,Argentina
361,Daniel,Agger,,O,12/12/1984,81,81,5,Denmark
362,Gabriel,Agbonlahor,,N,10/13/1986,73,73,2,England
363,Emmanuel,Adebayor,,N,02/26/1984,80,80,11,Togo
364,Charlie,Adam,,P,12/10/1985,73,73,18,Scotland
365,Mehdi,Abeid,,P,08/06/1992,65,72,8,Algeria
366,Marko,Arnautovic,,P,04/19/1989,77,79,18,Austria
367,Scott,Arfield,,P,11/01/1988,68,70,16,Scotland
368,Vurnon,Anita,,P,04/04/1989,74,76,8,Holland
370,Ben,Amos,,B,04/10/1990,65,71,7,England
371,Sone,Aluko,,N,02/19/1989,71,75,19,Nigeria
372,Jozy,Altidore,,N,11/06/1989,74,77,14,United States
373,Joe,Allen,,P,03/14/1990,77,82,5,Wales
374,Antol+AO0-n,Alcaraz,,O,07/30/1982,74,74,4,Paraguay
376,Mario,Balotelli,,N,08/12/1990,82,86,5,Italy
377,Nathan,Baker,,O,04/23/1991,71,76,2,England
378,Zoumana,Bakayogo,,O,08/11/1986,61,61,13,C+APQ-te d'Ivoire
379,Chris,Baird,,P,02/25/1982,71,71,15,Northern Ireland
381,Beno+AO4-t,Assou+AC0-Ekotto,,O,03/24/1984,74,74,11,Cameroon
382,Oussama,Assaidi,,P,08/15/1988,74,76,5,Morocco
383,David Josu+AOk-,Jimenez Silva,David Silva,P,01/08/1986,87,87,6,Spain
384,David,De Gea Quintana,De Gea,B,11/07/1990,83,87,7,Spain
385,Bojan,Krkic Perez,Bojan,N,08/28/1990,77,81,18,Spain
387,Francesc,Fabregas i Soler,Cesc Fabregas,P,05/04/1987,84,84,3,Spain
388,Philippe,Coutinho Correia,Coutinho,P,06/12/1992,81,86,5,Brazil
389,Diego,da Silva Costa,Diego Costa,N,10/07/1988,85,87,3,Spain
390,Fernando Luiz,Rosa,Fernandinho,P,05/04/1985,82,82,6,Brazil
391,Fernando,Reges,Fernando,P,07/25/1987,79,83,6,Brazil
392,Fernando Jos+AOk-,Torres Sanz,Fernando Torres,N,03/20/1984,81,81,3,Spain
393,Filipe Lu+AO0-s,Kasmirski,Filipe Lu+AO0-s,O,08/09/1985,82,82,3,Brazil
394,Jes+APo-s,Navas Gonz+AOE-lez,Jes+APo-s Navas,P,11/21/1985,83,83,6,Spain
395,Jordi,G+APM-mez Garc+AO0-a+AC0-Penche,Jordi G+APM-mez,P,05/24/1985,69,69,14,Spain
396,Jos+AOk- Alberto,Canas Ru+AO0-z+AC0-Herrera,Jos+AOk- Canas,P,05/27/1987,77,78,20,Spain
398,Jos+AOk- Miguel,da Rocha Fonte,Jos+AOk- Fonte,O,12/22/1983,74,74,10,Portugal
399,Juan Manuel,Mata Garc+AO0-a,Juan Mata,P,04/28/1988,85,86,7,Spain
400,Sung Yueng,Ki,Ki Sung Yueng,P,01/24/1989,74,77,20,Korea Republic
401,Marc,Muniesa Mart+AO0-nez,Marc Muniesa,O,03/27/1992,72,80,18,Spain
402,Lucas,Pezzini Leiva,Lucas Leiva,P,01/09/1987,79,79,5,Brazil
403,Mikel,Arteta Amatriain,Mikel Arteta,P,03/26/1982,80,80,1,Spain
404,Ignacio,Monreal Eraso,Monreal,O,02/26/1986,76,76,1,Spain
405,+AME-lvaro,Negredo S+AOE-nchez,Negredo,N,08/20/1985,83,83,6,Spain
407,Jos+AOk- Paulo,Bezerra M. J+APo-nior,Paulinho,P,07/25/1988,80,85,11,Brazil
408,Rafael,Pereira da Silva,Rafael,O,07/09/1990,77,82,7,Brazil
409,Ramires,Santos do Nascimen.,Ramires,P,03/24/1987,81,82,3,Brazil
410,Sandro,R. G. Cordeiro,Sandro,P,03/15/1989,79,81,11,Brazil
411,Santiago,Cazorla Gonz+AOE-lez,Santi Cazorla,P,12/13/1984,84,84,1,Spain
412,Suk Young,Yun,Yun Suk Young,O,02/13/1990,68,74,9,Korea Republic
413,Roberto,Soldado Rillo,Soldado,N,05/27/1985,81,81,11,Spain
414,Silvestre,Gon+AOc-alves Varela,Varela,N,02/02/1985,78,78,15,Portugal
415,Willian,Borges da Silva,Willian,P,08/09/1988,82,84,3,Brazil
416,Angel,Rangel Zaragoza,Angel Rangel,O,10/28/1982,75,75,20,Spain
95,Jay,Rodriguez,,P,07/29/1989,75,79,10,England
100,Steven,Reid,,O,03/10/1981,69,69,16,Republic of Ireland
106,Jonjo,Shelvey,,P,02/27/1992,74,80,20,England
111,Stephen,Quinn,,P,04/01/1986,68,68,19,Republic of Ireland
118,David,Ospina,,B,08/31/1988,77,82,1,Colombia
124,Gabriel,Obertan,,P,02/26/1989,68,72,8,France
128,Joey,O'Brien,,O,02/17/1986,70,70,12,Republic of Ireland
135,Steven,N'Zonzi,,P,12/15/1988,75,79,18,France
140,Brian,Murphy,,B,05/07/1983,65,65,9,Republic of Ireland
228,Joe,Hart,,B,04/19/1987,82,83,6,England
234,Brad,Guzan,,B,09/09/1984,78,78,2,United States
239,Baf+AOk-timbi,Gomis,,N,08/06/1985,78,78,20,France
245,Ben,Foster,,B,04/03/1983,78,78,15,England
251,Shane,Ferguson,,P,07/12/1991,65,71,8,Northern Ireland
256,Alejandro,Faurl+AO0-n,,P,08/09/1986,74,74,9,Argentina
262,Ahmed,Elmohamady,,O,09/09/1987,72,73,19,Egypt
266,Edin,D+AJ4-eko,,N,03/17/1986,83,83,6,Bosnia and Herzegovina
270,Michael,Duff,,O,01/11/1978,67,67,16,Northern Ireland
